timestamp,num_clients,reward,Q_value,policy,tx_power_1,width_1,obss_pd_1,tx_power_2,width_2,obss_pd_2,tx_power_3,width_3,obss_pd_3,p50_throughput_1,p95_retry_1,p50_throughput_2,p95_retry_2,p50_throughput_3,p95_retry_3
2025-01-14 00:00:00,25,26.614640037979346,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,17.93103448275862,1.0,7.027027027027027,1.0,14.246575342465754,8.599999999999973
2025-01-14 01:00:00,24,44.42466822794692,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,10.833333333333332,15.25,3.714285714285714,1.0,40.0,1.0
2025-01-14 02:00:00,22,41.332448569357204,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,40.0,1.0,1.4772727272727273,10.5,17.042109779903186,14.299999999999986
2025-01-14 03:00:00,19,20.513749360693417,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,4.608708360973587,17.299999999999994,15.072463768115941,15.25,19.258991753593055,1.0
2025-01-14 04:00:00,19,43.57502939267121,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,8.08888888643799,1.0,1.9377534094590294,1.0,33.54838709677419,1.0
2025-01-14 05:00:00,14,36.60381460836928,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,13.0,1.0,8.449887073066684,17.14999999999999,23.111109822767723,1.0
2025-01-14 06:00:00,16,72.26364652558046,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,17.331870979027276,2.8,4.90566037735849,1.0,61.16803222714079,1.0
2025-01-14 07:00:00,14,37.28000827518484,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,7.172413790198553,16.199999999999996,5.514599788834666,1.0,31.322666894362612,1.0
2025-01-14 08:00:00,11,150.24789892669074,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,65.0,1.0,64.99999999284128,1.0,20.247898933849463,1.0
2025-01-14 09:00:00,6,128.13748325106076,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,31.937483251818183,1.0,28.599999999981527,1.0,67.59999999926103,1.0
2025-01-14 10:00:00,7,58.1060606060606,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,14.772727272727273,1.0,0.0,0.0,43.33333333333333,1.0
2025-01-14 11:00:00,5,129.883017643632,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,5.353614543075516,4.0,16.25,19.05,127.6915956351597,1.0
2025-01-14 12:00:00,5,31.087366616468458,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,54.98703156878016,1.95,2.888888888888889,1.0,0.0,0.0
2025-01-14 13:00:00,5,348.2074661383585,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,55.70757910296125,1.0,32.49988703539725,1.0,260.0,1.0
2025-01-14 14:00:00,7,122.86046574147196,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,51.37268900529123,1.0,14.900068587626388,1.0,56.58770814855435,1.0
2025-01-14 15:00:00,7,227.5,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,130.0,1.0,32.5,1.0,65.0,1.0
2025-01-14 16:00:00,7,149.4149052722642,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,14.444444444444443,1.0,4.970460827819772,1.0,130.0,1.0
2025-01-14 17:00:00,11,39.3517950820895,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,12.682926829268293,1.0,11.374827145177164,1.0,15.294041107644045,1.0
2025-01-14 18:00:00,13,273.1187371235939,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,12.999983127065208,1.0,1.5853658536585367,13.34999999999999,260.0,1.0
2025-01-14 19:00:00,14,44.76759212114018,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,8.774649291181724,1.0,3.64,1.0,32.35294282995846,1.0
2025-01-14 20:00:00,18,11.969501259519499,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,30.588235294117645,16.199999999999996,4.657074771164982,20.0,15.757575757575758,1.5999999999999996
2025-01-14 21:00:00,21,55.455900621118005,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,16.9,1.0,1.4130434782608696,1.0,37.14285714285714,1.0
2025-01-14 22:00:00,24,22.6064753818377,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,5.6521739130434785,16.199999999999996,6.5,1.0,15.757575757575758,1.0
2025-01-14 23:00:00,25,39.03994639779259,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,16.24999999994227,1.0,2.1311475409836067,8.299999999999994,22.533181633876396,1.0
2025-01-15 00:00:00,24,44.25665098406641,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,10.399999998912666,13.34999999999999,1.8777746393056178,1.0,41.59985012761378,1.0
2025-01-15 01:00:00,21,52.79658596131077,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,8.082543430320792,1.0,3.2499908573786347,1.0,41.464051673611344,1.0
2025-01-15 02:00:00,25,37.470588235294116,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,26.0,1.0,3.0588235294117645,1.3999999999999986,9.285714285714285,1.0
